DATE,PRODUCT ID,QUANTITY,SALE TYPE,PAYMENT MODE,DISCOUNT %
2021-01-01,P0024,9,Wholesaler,Online,0
2021-01-02,P0038,15,Online,Cash,0
2021-01-02,P0013,6,Direct Sales,Cash,0
2021-01-03,P0004,5,Direct Sales,Online,0
2021-01-04,P0035,12,Online,Online,0
2021-01-09,P0031,1,Direct Sales,Cash,0
2021-01-09,P0003,8,Direct Sales,Cash,0
2021-01-09,P0025,4,Direct Sales,Online,0
2021-01-11,P0037,3,Direct Sales,Cash,0
2021-01-11,P0014,4,Wholesaler,Online,0
2021-01-11,P0042,4,Direct Sales,Online,0
2021-01-12,P0042,10,Online,Cash,0
2021-01-18,P0044,13,Direct Sales,Online,0
2021-01-18,P0023,3,Online,Cash,0
2021-01-19,P0035,6,Direct Sales,Cash,0
2021-01-20,P0034,4,Direct Sales,Cash,0
2021-01-20,P0020,4,Direct Sales,Cash,0
2021-01-21,P0004,15,Wholesaler,Cash,0
2021-01-21,P0003,9,Direct Sales,Online,0
2021-01-21,P0042,6,Direct Sales,Online,0
2021-01-25,P0034,6,Direct Sales,Cash,0
2021-01-25,P0035,7,Direct Sales,Online,0
2021-01-25,P0031,14,Direct Sales,Online,0
2021-01-26,P0044,9,Wholesaler,Cash,0
2021-01-26,P0006,7,Online,Cash,0
2021-01-26,P0001,7,Online,Online,0
2021-01-27,P0040,7,Wholesaler,Online,0
2021-01-27,P0032,3,Wholesaler,Online,0
2021-01-28,P0004,10,Online,Cash,0
2021-01-28,P0029,2,Direct Sales,Cash,0
2021-02-02,P0010,7,Online,Online,0
2021-02-03,P0016,13,Direct Sales,Online,0
2021-02-03,P0022,2,Wholesaler,Cash,0
2021-02-04,P0037,4,Online,Online,0
2021-02-05,P0043,7,Online,Cash,0
2021-02-05,P0005,1,Direct Sales,Cash,0
2021-02-05,P0043,9,Direct Sales,Cash,0
2021-02-06,P0035,1,Direct Sales,Cash,0
2021-02-09,P0034,14,Direct Sales,Online,0
2021-02-12,P0008,7,Direct Sales,Cash,0
2021-02-12,P0023,9,Online,Cash,0
2021-02-15,P0027,4,Direct Sales,Online,0
2021-02-18,P0015,6,Online,Cash,0
2021-02-20,P0030,11,Online,Cash,0
2021-02-22,P0013,5,Online,Cash,0
2021-02-23,P0025,3,Direct Sales,Cash,0
2021-02-23,P0005,2,Direct Sales,Online,0
2021-02-25,P0002,4,Wholesaler,Online,0
2021-02-25,P0032,11,Online,Cash,0
2021-02-25,P0030,2,Direct Sales,Online,0
2021-02-27,P0018,11,Wholesaler,Online,0
2021-03-03,P0011,1,Direct Sales,Online,0
2021-03-07,P0021,9,Direct Sales,Cash,0
2021-03-08,P0027,6,Online,Cash,0
2021-03-08,P0044,9,Online,Online,0
2021-03-09,P0029,6,Wholesaler,Online,0
2021-03-11,P0025,11,Direct Sales,Cash,0
2021-03-13,P0028,10,Wholesaler,Cash,0
2021-03-15,P0039,11,Online,Cash,0
2021-03-16,P0012,14,Direct Sales,Cash,0
2021-03-18,P0042,8,Wholesaler,Cash,0
2021-03-19,P0028,9,Online,Cash,0
2021-03-21,P0020,13,Online,Online,0
2021-03-21,P0039,7,Direct Sales,Online,0
2021-03-22,P0002,8,Online,Online,0
2021-03-22,P0012,4,Online,Online,0
2021-03-25,P0024,14,Online,Cash,0
2021-03-25,P0006,4,Direct Sales,Cash,0
2021-03-25,P0029,8,Direct Sales,Cash,0
2021-03-25,P0038,2,Direct Sales,Online,0
2021-03-26,P0001,4,Direct Sales,Cash,0
2021-03-26,P0042,1,Direct Sales,Cash,0
2021-03-26,P0010,9,Direct Sales,Online,0
2021-03-27,P0030,3,Direct Sales,Online,0
2021-03-28,P0007,8,Online,Cash,0
2021-03-30,P0038,1,Online,Cash,0
2021-03-31,P0042,3,Direct Sales,Cash,0
2021-04-04,P0040,4,Direct Sales,Cash,0
2021-04-04,P0009,9,Online,Cash,0
2021-04-05,P0031,15,Online,Online,0
2021-04-09,P0005,3,Online,Online,0
2021-04-10,P0022,14,Direct Sales,Online,0
2021-04-12,P0037,3,Direct Sales,Cash,0
2021-04-12,P0029,4,Direct Sales,Online,0
