DATE,PRODUCT ID,QUANTITY,SALE TYPE,PAYMENT MODE,DISCOUNT %,PRODUCT,CATEGORY,UOM,BUYING PRIZE,SELLING PRICE,NET_SALES,COST,PROFIT,YEAR,MONTH,PERIOD
2021-01-01,P0024,9,Wholesaler,Online,0,Product24,Category03,Ft,144,156.96,1412.64,1296,116.6400000000001,2021,1,2021-01
2021-01-02,P0038,15,Online,Cash,0,Product38,Category05,Kg,72,79.92,1198.8,1080,118.79999999999995,2021,1,2021-01
2021-01-02,P0013,6,Direct Sales,Cash,0,Product13,Category02,Kg,112,122.08,732.48,672,60.48000000000002,2021,1,2021-01
2021-01-03,P0004,5,Direct Sales,Online,0,Product04,Category01,Lt,44,48.84,244.20000000000002,220,24.200000000000017,2021,1,2021-01
2021-01-04,P0035,12,Online,Online,0,Product35,Category04,No.,5,6.7,80.4,60,20.400000000000006,2021,1,2021-01
2021-01-09,P0031,1,Direct Sales,Cash,0,Product31,Category04,Kg,93,104.16,104.16,93,11.159999999999997,2021,1,2021-01
2021-01-09,P0003,8,Direct Sales,Cash,0,Product03,Category01,Kg,71,80.94,647.52,568,79.51999999999998,2021,1,2021-01
2021-01-09,P0025,4,Direct Sales,Online,0,Product25,Category03,No.,7,8.33,33.32,28,5.32,2021,1,2021-01
2021-01-11,P0037,3,Direct Sales,Cash,0,Product37,Category05,Kg,67,85.76,257.28000000000003,201,56.28000000000003,2021,1,2021-01
2021-01-11,P0014,4,Wholesaler,Online,0,Product14,Category02,Kg,112,146.72,586.88,448,138.88,2021,1,2021-01
2021-01-11,P0042,4,Direct Sales,Online,0,Product42,Category05,Ft,120,162.0,648.0,480,168.0,2021,1,2021-01
2021-01-12,P0042,10,Online,Cash,0,Product42,Category05,Ft,120,162.0,1620.0,1200,420.0,2021,1,2021-01
2021-01-18,P0044,13,Direct Sales,Online,0,Product44,Category05,Kg,76,82.08,1067.04,988,79.03999999999996,2021,1,2021-01
2021-01-18,P0023,3,Online,Cash,0,Product23,Category03,Ft,141,149.46,448.38,423,25.379999999999995,2021,1,2021-01
2021-01-19,P0035,6,Direct Sales,Cash,0,Product35,Category04,No.,5,6.7,40.2,30,10.200000000000003,2021,1,2021-01
2021-01-20,P0034,4,Direct Sales,Cash,0,Product34,Category04,Lt,55,58.3,233.2,220,13.199999999999989,2021,1,2021-01
2021-01-20,P0020,4,Direct Sales,Cash,0,Product20,Category03,Lt,61,76.25,305.0,244,61.0,2021,1,2021-01
2021-01-21,P0004,15,Wholesaler,Cash,0,Product04,Category01,Lt,44,48.84,732.6,660,72.60000000000002,2021,1,2021-01
2021-01-21,P0003,9,Direct Sales,Online,0,Product03,Category01,Kg,71,80.94,728.46,639,89.46000000000004,2021,1,2021-01
2021-01-21,P0042,6,Direct Sales,Online,0,Product42,Category05,Ft,120,162.0,972.0,720,252.0,2021,1,2021-01
2021-01-25,P0034,6,Direct Sales,Cash,0,Product34,Category04,Lt,55,58.3,349.79999999999995,330,19.799999999999955,2021,1,2021-01
2021-01-25,P0035,7,Direct Sales,Online,0,Product35,Category04,No.,5,6.7,46.9,35,11.899999999999999,2021,1,2021-01
2021-01-25,P0031,14,Direct Sales,Online,0,Product31,Category04,Kg,93,104.16,1458.24,1302,156.24,2021,1,2021-01
2021-01-26,P0044,9,Wholesaler,Cash,0,Product44,Category05,Kg,76,82.08,738.72,684,54.72000000000003,2021,1,2021-01
2021-01-26,P0006,7,Online,Cash,0,Product06,Category01,Kg,75,85.5,598.5,525,73.5,2021,1,2021-01
2021-01-26,P0001,7,Online,Online,0,Product01,Category01,Kg,98,103.88,727.16,686,41.15999999999997,2021,1,2021-01
2021-01-27,P0040,7,Wholesaler,Online,0,Product40,Category05,Kg,90,115.2,806.4,630,176.39999999999998,2021,1,2021-01
2021-01-27,P0032,3,Wholesaler,Online,0,Product32,Category04,Kg,89,117.48,352.44,267,85.44,2021,1,2021-01
2021-01-28,P0004,10,Online,Cash,0,Product04,Category01,Lt,44,48.84,488.40000000000003,440,48.400000000000034,2021,1,2021-01
2021-01-28,P0029,2,Direct Sales,Cash,0,Product29,Category04,Lt,47,53.11,106.22,94,12.219999999999999,2021,1,2021-01
2021-02-02,P0010,7,Online,Online,0,Product10,Category02,Ft,148,164.28,1149.96,1036,113.96000000000004,2021,2,2021-02
2021-02-03,P0016,13,Direct Sales,Online,0,Product16,Category02,No.,13,16.64,216.32,169,47.31999999999999,2021,2,2021-02
2021-02-03,P0022,2,Wholesaler,Cash,0,Product22,Category03,Ft,121,141.57,283.14,242,41.139999999999986,2021,2,2021-02
2021-02-04,P0037,4,Online,Online,0,Product37,Category05,Kg,67,85.76,343.04,268,75.04000000000002,2021,2,2021-02
